MOD15A2H.A2019313.h10v09.006.2020317220414.Fpar_500m,MOD15A2H,A2019313,Lat-3.834436Lon-73.31897Samp17Line17,2020317220414,0.81,0.84,F,0.64,0.14,0.14,0.09,F,F,F,F,F,0.88,0.88,0.9,0.9,0.9,0.88,0.81,F,0.72,0.14,0.6,0.55,F,F,F,0.06,0.9,0.9,0.9,0.9,0.9,0.9,0.88,0.87,F,0.09,0.14,0.9,F,F,0.59,0.63,F,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.88,0.89,0.23,0.23,0.24,0.76,0.04,0.71,F,0.89,0.89,0.89,0.89,0.9,F,F,0.89,F,0.9,0.23,0.14,F,0.64,0.04,0.04,0.9,0.9,0.89,0.9,0.9,F,F,F,0.89,0.9,0.9,0.9,0.14,0.55,F,F,0.89,0.9,F,0.89,0.9,0.9,F,F,0.9,0.18,F,F,0.9,F,0.5,F,F,F,0.36,0.89,0.89,0.89,0.89,0.9,F,F,0.48,0.48,F,F,F,0.45,0.56,F,F,F,0.89,0.89,0.89,0.89,F,F,F,0.23,0.48,0.14,0.59,F,F,F,F,F,0.78,0.88,0.89,0.89,0.89,0.89,F,F,0.14,0.14,F,0.54,F,F,F,F,F,F,0.9,0.89,0.89,F,F,F,F,F,0.9,0.09,0.56,F,F,F,0.89,F,0.9,F,0.89,0.9,0.88,0.88,F,F,0.19,0.19,0.17,F,F,F,0.89,0.89,0.89,F,0.9,0.89,F,0.9,F,F,F,0.75,0.19,0.19,F,F,F,0.89,0.9,0.89,F,0.89,0.89,F,0.9,0.9,0.9,0.89,0.46,0.19,0.19,F,F,F,F,F,0.89,F,0.89,F,F,0.9,0.9,0.9,0.9,0.72,0.55,0.14,0.54,F,F,F,0.9,0.89,0.89,0.89,F,F,F,0.9,F,0.9,F,F,F,F,F,F,0.9,0.9,0.88,F,F,0.89,F,F,0.9,F,0.9,F,F,F,F,F,0.9,0.9,0.9,0.89,F,F,0.89,F,F,F,F,0.9
MOD15A2H.A2019321.h10v09.006.2020318145541.Fpar_500m,MOD15A2H,A2019321,Lat-3.834436Lon-73.31897Samp17Line17,2020318145541,0.89,0.83,F,0.61,0.18,0.15,0.09,F,F,F,F,F,F,0.89,0.89,0.9,0.9,0.9,0.89,F,0.2,0.18,0.18,0.75,F,F,F,F,F,0.9,F,0.9,0.9,0.9,0.9,0.89,F,0.18,0.18,0.08,0.08,F,F,F,F,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.9,0.12,0.18,0.18,0.13,0.13,F,F,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.88,0.35,0.05,0.14,F,F,0.04,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,0.88,0.9,F,F,F,F,F,F,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.36,F,F,F,F,F,F,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.24,0.24,0.36,0.23,0.23,0.23,F,F,0.38,F,F,F,F,0.9,0.9,0.9,0.9,0.9,F,0.37,F,F,F,F,F,F,F,0.89,0.88,0.9,0.9,0.9,0.9,F,0.9,0.49,0.36,F,F,0.27,0.27,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,F,0.9,F,F,F,0.45,0.45,0.51,0.09,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.57,0.57,0.26,F,F,0.09,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.42,0.14,F,F,F,F,F,F,0.9,0.9,0.9,0.9,0.9,F,0.9,0.9,0.9,0.9,0.61,F,F,0.21,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,F,F,0.48,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,F,F,F,0.3,0.3,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,F,0.89,F,F,F,0.18,0.18,F,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.05,0.05,0.08
MOD15A2H.A2019329.h10v09.006.2020319051605.Fpar_500m,MOD15A2H,A2019329,Lat-3.834436Lon-73.31897Samp17Line17,2020319051605,F,F,F,0.16,0.26,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,0.43,0.14,0.19,0.39,0.19,0.18,0.18,0.25,F,F,F,F,F,F,F,F,F,0.14,0.6,F,F,F,0.41,0.28,F,F,F,F,F,F,F,0.81,F,F,0.09,0.6,0.6,0.51,0.42,0.42,F,F,F,0.05,F,F,F,F,0.49,F,F,0.09,0.49,0.49,0.42,0.45,0.45,F,F,F,0.05,0.05,F,F,F,0.49,F,F,F,0.31,0.31,F,F,F,F,F,F,F,F,F,F,F,0.16,F,F,F,0.3,0.3,F,F,F,F,F,0.89,0.87,0.87,0.88,F,F,0.12,0.12,0.09,0.09,F,0.33,0.34,F,F,F,F,F,0.88,0.87,0.88,0.88,F,0.14,0.14,0.09,0.09,F,F,F,F,F,F,F,0.88,0.88,F,0.84,F,F,0.14,0.14,0.09,0.09,0.45,F,F,F,F,0.89,0.89,0.88,0.87,0.87,0.88,0.82,F,F,F,0.19,0.19,0.38,0.4,0.87,F,F,0.88,0.82,0.82,0.46,F,0.88,0.88,F,0.22,0.22,0.22,0.19,0.16,0.16,F,F,F,F,0.81,F,F,F,F,F,F,0.27,0.27,0.27,0.19,0.18,0.27,F,F,F,F,F,F,F,F,F,F,F,0.26,0.27,0.27,0.19,F,F,F,F,F,F,F,F,F,F,F,F,F,0.29,0.27,0.27,0.28,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.34,0.27,0.19,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.28,0.24,0.24,F,F,F,F,F,0.85,0.85,F,F,F,F,F
MOD15A2H.A2019337.h10v09.006.2020320203418.Fpar_500m,MOD15A2H,A2019337,Lat-3.834436Lon-73.31897Samp17Line17,2020320203418,0.74,0.65,F,0.5,0.59,0.4,0.4,F,F,F,F,F,F,F,F,F,0.54,0.74,0.64,F,0.5,0.68,0.59,0.46,0.45,0.57,F,F,F,F,F,F,F,0.54,0.84,0.73,F,0.48,0.42,0.89,0.79,0.79,0.51,0.51,0.89,0.89,0.88,0.86,0.84,F,0.6,0.86,0.81,0.88,0.6,0.53,0.62,0.64,0.64,0.49,F,0.86,0.86,0.83,0.86,0.84,0.84,0.75,0.87,0.89,0.88,0.75,0.53,0.56,0.56,0.56,0.7,0.87,0.84,0.84,0.83,0.6,0.55,0.55,F,0.8,0.88,0.88,0.88,0.67,0.51,F,F,0.87,0.85,F,0.84,0.65,0.53,0.24,0.24,F,0.48,0.88,0.88,0.88,0.67,0.43,F,F,F,0.85,F,F,0.77,0.24,F,F,F,0.48,0.59,0.46,0.46,F,0.41,0.39,F,F,F,F,F,F,0.38,F,F,F,0.81,0.54,0.36,0.36,F,F,F,0.84,0.84,0.84,F,0.68,0.68,0.53,F,F,F,0.76,0.72,0.6,0.29,0.38,F,F,0.86,F,0.89,0.88,F,F,F,F,F,F,0.89,0.89,0.71,0.38,F,F,F,0.84,F,F,F,0.78,F,F,F,F,F,0.77,0.77,0.63,0.29,F,F,0.9,0.86,0.7,0.7,0.39,0.39,F,F,F,F,F,0.78,0.78,0.48,0.31,F,F,F,0.86,0.83,0.83,F,F,F,F,F,F,0.89,0.42,0.51,0.46,0.47,F,F,F,0.87,0.84,0.84,0.65,0.38,F,F,F,F,F,0.31,0.31,0.23,F,F,F,F,0.86,0.79,0.79,0.46,0.26,F,F,F,F,F,0.62,0.62,0.27,F,F,F,0.88,0.85,0.64,0.64,0.16,0.26,F,F,F,F,0.9,0.74,0.74,0.27,F,F,F,F,F,F,0.73,0.16,0.05,F,F,F,F,F
MOD15A2H.A2019345.h10v09.006.2020322002722.Fpar_500m,MOD15A2H,A2019345,Lat-3.834436Lon-73.31897Samp17Line17,2020322002722,0.38,0.38,F,0.38,0.42,0.51,0.51,F,F,F,F,F,F,F,F,F,F,0.68,0.68,F,0.48,0.64,0.65,0.41,0.38,0.38,0.37,0.24,F,F,F,F,F,F,0.89,0.75,F,0.58,0.64,0.86,0.86,0.85,0.51,0.35,F,F,F,F,F,F,F,0.89,0.75,0.86,0.58,0.64,0.64,0.64,0.51,0.51,F,F,F,F,F,F,0.87,0.87,0.89,0.83,0.86,0.65,0.48,0.33,0.33,0.39,0.39,F,F,F,F,F,0.87,0.85,0.85,0.82,0.82,0.87,0.85,0.66,0.23,F,F,F,F,F,F,F,0.85,0.85,0.85,0.85,0.59,0.88,0.79,F,0.66,0.23,F,F,F,F,F,F,0.84,0.85,0.85,F,F,0.6,0.6,0.49,0.45,F,0.39,0.39,F,F,F,F,F,0.84,0.82,0.82,F,F,0.61,0.61,0.35,0.41,F,F,F,0.88,0.86,F,F,F,0.84,F,F,F,F,0.58,0.58,0.5,F,F,F,F,0.87,0.86,0.86,0.85,0.85,0.65,F,F,F,F,0.74,0.74,0.48,F,F,0.46,F,0.88,0.85,0.85,0.85,F,0.7,F,F,F,F,0.46,0.46,0.41,0.42,0.42,0.53,F,F,0.85,F,F,F,0.86,0.87,0.87,F,F,0.55,0.55,0.45,0.42,0.42,F,F,F,F,F,F,F,0.75,0.84,0.84,0.82,0.86,0.43,0.38,0.41,0.33,F,F,F,F,0.87,0.87,F,0.82,0.82,0.86,0.83,0.78,0.78,0.38,0.48,0.48,0.41,F,0.84,0.83,0.83,0.84,0.84,0.86,F,F,0.84,0.84,0.79,0.63,0.86,F,0.67,0.65,0.65,0.85,F,0.83,0.84,0.84,0.75,0.65,0.65,0.81,0.81,0.64,0.85,0.86,F,0.5,0.63,0.63,0.85,F,F,F,F,0.73,0.65,0.65,F,F,0.64,0.85
MOD15A2H.A2019353.h10v09.006.2020322224221.Fpar_500m,MOD15A2H,A2019353,Lat-3.834436Lon-73.31897Samp17Line17,2020322224221,0.35,0.52,F,0.63,0.63,0.25,0.3,F,F,F,F,F,F,F,F,F,F,F,0.68,F,0.49,0.63,0.55,0.48,0.47,0.47,0.37,F,F,0.9,0.9,F,0.88,0.88,0.75,0.72,F,0.49,0.58,F,0.88,F,0.47,0.44,F,F,F,0.87,0.81,0.55,0.55,F,0.72,0.7,0.42,0.58,0.58,0.38,0.25,0.25,F,F,0.77,0.77,F,F,0.72,0.72,F,F,0.74,0.42,0.48,0.51,0.4,0.46,0.25,F,F,F,F,F,0.63,0.56,F,0.56,F,0.88,0.88,0.63,0.35,F,F,F,F,F,0.88,0.74,0.74,0.43,0.56,F,0.53,F,F,F,0.4,0.4,F,0.48,F,0.2,F,0.76,F,F,0.43,F,F,0.43,0.43,0.37,0.43,F,0.4,0.46,F,F,F,0.9,0.72,F,F,F,F,F,0.55,0.55,0.35,0.53,F,F,F,F,F,F,0.9,0.84,F,F,F,F,0.66,0.4,0.4,0.72,0.42,0.47,F,F,0.82,F,F,0.7,0.31,F,F,F,F,0.6,F,F,0.75,0.34,0.44,0.54,0.87,F,F,0.85,0.85,0.88,0.9,F,0.88,F,0.58,0.42,0.65,0.65,0.61,F,F,F,0.54,F,F,F,F,F,F,F,F,F,0.59,0.42,0.42,0.61,F,F,F,0.85,F,F,F,F,F,F,F,0.71,0.87,0.38,0.42,0.42,0.4,F,0.59,0.59,F,F,0.83,F,0.84,0.66,0.6,0.6,F,F,0.46,0.34,0.35,0.35,F,0.87,0.87,F,F,0.83,0.83,F,0.78,F,F,F,F,F,F,0.4,0.44,F,F,F,F,F,0.61,0.61,0.68,F,0.87,0.87,0.86,F,0.89,F,F,F,F,0.88,0.86,0.86,0.79,0.62,F,F,F,0.43,0.86,0.86,0.85
MOD15A2H.A2019361.h10v09.006.2020323205604.Fpar_500m,MOD15A2H,A2019361,Lat-3.834436Lon-73.31897Samp17Line17,2020323205604,F,F,F,0.25,0.26,F,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.26,F,0.22,0.16,0.16,0.44,0.33,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.27,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,0.21,0.16,0.25,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.89,0.57,F,F,F,F,F,0.89,0.38,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.67,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.22,0.28,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.35,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2020001.h10v09.006.2020324100646.Fpar_500m,MOD15A2H,A2020001,Lat-3.834436Lon-73.31897Samp17Line17,2020324100646,0.79,0.71,F,0.61,0.45,0.45,0.42,F,F,F,F,F,0.8,0.9,0.89,0.89,0.9,0.88,0.87,F,0.61,0.47,0.59,0.61,0.54,0.54,0.54,0.54,0.9,0.9,0.9,0.9,0.9,0.9,0.88,0.88,F,0.37,0.58,0.85,0.9,0.9,0.63,0.49,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.88,0.54,0.54,0.54,0.5,0.5,0.52,0.84,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.89,0.53,0.53,0.65,0.5,0.5,0.52,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.9,0.53,0.56,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.4,0.9,0.9,0.85,0.49,0.42,F,0.88,F,0.74,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.52,0.44,0.44,0.44,F,0.42,0.54,0.88,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.59,0.49,0.44,0.44,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.59,0.49,0.49,0.48,0.48,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.82,0.89,0.51,0.43,0.51,0.53,0.81,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.59,0.67,0.51,0.43,0.43,0.53,0.83,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.59,0.55,0.55,0.54,0.54,0.85,0.85,0.89,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.59,0.45,0.45,0.46,F,0.83,0.85,0.89,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.56,0.56,0.46,0.44,F,0.83,0.83,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.85,0.56,0.54,0.54,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.86,0.59,0.56,0.61,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MOD15A2H.A2020009.h10v09.006.2020326051649.Fpar_500m,MOD15A2H,A2020009,Lat-3.834436Lon-73.31897Samp17Line17,2020326051649,F,F,F,F,F,F,F,F,F,F,F,F,F,0.89,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.47,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.47,F,F,F,F,F,F,F,F,F,F,F,F,F,0.4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.41,0.36,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.41,0.41,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.42,0.42,0.43,0.47,F,F,F,F,F,F,F,F,F,F,F,F,0.6,0.5,0.5,0.46,0.47,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.46,F,F,F,F,F,F,F,F,F,F,F,F,F,0.41,0.41,0.41,F,F,0.89,0.89,F,F,F,F,F,F,F,F,F,F,0.47,0.47,0.45,F,F,0.9,0.9,0.89,0.89,0.89,F,F,F,F,F,F,F,F,0.47,0.47,0.44,F,F,0.9,F,F,0.89,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2020017.h10v09.006.2020328152402.Fpar_500m,MOD15A2H,A2020017,Lat-3.834436Lon-73.31897Samp17Line17,2020328152402,0.86,0.85,F,0.16,0.48,0.36,0.36,F,F,F,F,F,0.9,0.84,0.84,0.84,F,0.89,0.89,F,0.16,0.16,0.36,0.58,0.36,0.36,0.36,0.34,F,0.9,0.9,0.9,0.9,F,0.89,0.89,F,0.1,0.1,F,F,F,0.36,0.36,F,F,0.64,0.64,0.9,0.9,F,0.89,0.9,0.9,0.1,F,F,0.16,0.16,0.35,0.86,0.86,0.86,0.9,0.9,0.64,0.9,F,0.87,F,F,0.29,0.29,0.16,0.16,0.35,0.35,F,0.86,0.86,0.9,0.9,0.76,0.76,0.86,F,F,F,F,F,F,F,F,0.89,0.89,0.82,0.82,0.8,0.8,0.9,0.9,0.86,0.57,F,F,F,0.27,0.21,F,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.81,0.25,0.25,0.25,0.27,F,0.21,0.53,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.81,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,F,F,F,F,0.3,0.3,F,F,F,0.9,0.9,0.9,0.9,F,F,F,F,F,F,F,0.3,0.3,0.44,0.38,0.84,0.84,0.9,0.9,0.8,F,F,F,F,F,F,0.21,0.21,0.21,0.47,0.47,0.47,0.84,0.84,0.9,0.9,0.9,0.9,0.43,0.43,0.43,F,F,0.26,0.26,0.33,0.33,0.46,F,F,F,0.9,0.9,0.79,0.82,0.82,0.43,0.43,F,F,0.48,0.37,0.37,0.46,F,0.81,F,F,0.9,0.9,0.9,F,F,F,F,F,F,0.33,0.37,0.37,0.35,F,F,F,F,0.9,0.9,0.9,F,F,F,F,F,F,F,F,0.38,0.46,0.46,0.81,F,0.75,0.9,0.87,0.87,F,F,F,F,F,F,F,F,0.38,0.47,0.47,0.81,0.81,0.81,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F
MOD15A2H.A2020025.h10v09.006.2020328181634.Fpar_500m,MOD15A2H,A2020025,Lat-3.834436Lon-73.31897Samp17Line17,2020328181634,0.79,0.63,F,0.61,0.23,0.32,0.3,F,F,F,F,F,F,F,0.89,0.88,0.88,0.88,0.77,F,0.65,0.23,0.3,0.69,0.26,0.26,0.61,0.58,F,0.89,0.89,0.89,0.89,0.89,0.88,0.85,F,0.25,0.23,0.9,0.9,0.89,0.6,0.55,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.87,0.86,0.88,0.69,0.25,0.25,0.67,0.76,0.67,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.85,0.89,0.9,0.69,0.72,0.66,0.67,0.67,0.41,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.28,0.6,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.63,F,0.9,F,0.34,0.6,F,F,F,0.85,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.36,0.54,0.54,0.5,F,0.56,0.42,F,F,F,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.23,0.24,0.48,0.48,F,F,F,F,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.23,0.23,0.23,0.34,0.59,F,F,0.9,0.89,0.89,0.9,0.89,0.88,0.89,0.89,0.89,0.89,F,F,0.23,0.45,0.46,0.59,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.89,0.89,0.89,0.33,0.38,0.46,0.42,0.42,0.37,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.33,0.33,0.3,0.22,0.2,F,F,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.56,0.31,0.59,0.38,F,F,F,0.89,0.89,0.89,0.88,0.89,0.9,0.9,0.89,0.89,0.89,0.65,0.42,0.42,0.51,F,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.89,F,F,0.37,0.38,0.34,0.9,0.89,0.89,0.89,0.89,0.89,F,F,F,0.89,0.89,0.89,F,F,0.37,0.38,0.48,0.9,0.89,0.89,0.89,0.89,0.9,F,F,0.86,0.89,0.89,0.89
MOD15A2H.A2020033.h10v09.006.2020329015338.Fpar_500m,MOD15A2H,A2020033,Lat-3.834436Lon-73.31897Samp17Line17,2020329015338,F,0.41,F,0.3,0.59,0.54,0.38,F,F,F,F,F,0.88,0.61,F,F,F,F,0.39,F,0.11,F,0.42,0.39,0.16,0.16,0.15,0.55,0.88,0.88,0.86,F,F,F,0.8,0.53,F,0.11,0.11,F,F,F,0.18,0.52,0.52,F,F,F,F,F,F,0.85,0.82,0.71,0.11,0.24,0.24,0.16,0.69,0.55,0.67,F,F,F,F,F,F,F,0.73,F,F,0.05,0.31,0.24,0.16,0.16,0.39,F,F,F,F,F,0.89,0.9,0.89,0.55,F,F,F,0.31,0.31,F,F,F,F,F,F,F,F,0.86,F,0.82,0.6,F,0.89,F,0.43,0.16,F,F,F,0.49,F,F,F,F,F,0.89,F,0.11,0.51,0.46,0.32,F,0.16,0.28,0.89,F,F,0.87,F,F,F,F,F,0.89,0.45,0.45,0.5,0.5,F,F,F,F,0.88,0.88,0.87,0.88,0.85,F,F,F,F,F,F,0.71,0.56,0.67,F,F,0.89,0.88,0.88,0.87,0.84,F,0.89,F,F,F,0.88,0.89,0.63,0.56,0.58,0.7,0.87,F,0.89,0.89,F,0.87,F,0.9,0.88,0.85,0.86,0.42,F,0.63,0.56,0.37,0.38,F,F,0.87,0.79,F,0.87,F,F,0.88,0.84,F,0.38,F,0.27,0.27,0.25,F,F,0.88,0.75,0.79,0.79,F,F,0.89,F,0.88,0.86,0.35,0.16,0.16,0.25,F,F,F,0.88,0.82,0.28,F,F,F,F,F,F,0.86,0.45,0.25,0.25,0.24,F,F,F,0.87,0.82,F,F,F,F,F,0.67,F,0.89,F,0.9,0.25,0.63,0.63,F,F,0.87,0.83,F,F,F,0.88,F,0.86,F,F,F,0.9,0.25,0.66,0.66,F,F,0.88,F,F,F,F,F,0.89,0.86,F,0.89
MOD15A2H.A2020041.h10v09.006.2020329104948.Fpar_500m,MOD15A2H,A2020041,Lat-3.834436Lon-73.31897Samp17Line17,2020329104948,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,F,0.51,F,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,0.93,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,F,F,F,F,F,F,F,F,F
MOD15A2H.A2020049.h10v09.006.2020335032239.Fpar_500m,MOD15A2H,A2020049,Lat-3.834436Lon-73.31897Samp17Line17,2020335032239,0.46,0.46,F,0.25,F,F,0.34,F,F,F,F,F,F,F,0.83,0.83,0.77,F,F,F,0.25,F,0.4,0.36,0.47,0.47,0.41,0.34,F,F,F,0.83,0.89,0.81,F,F,F,0.25,F,F,F,F,0.42,0.34,F,F,F,F,0.87,0.89,0.89,F,F,F,0.46,0.34,0.38,0.38,0.34,0.34,F,F,F,F,0.9,0.9,0.9,0.89,F,F,F,0.48,0.3,0.31,0.38,0.34,0.34,F,F,F,F,0.9,0.9,0.9,0.9,F,F,F,F,0.3,0.31,F,F,F,F,F,F,0.87,F,0.88,0.88,0.9,0.37,F,F,F,0.42,0.37,F,F,F,F,F,F,0.87,0.87,0.82,0.82,0.84,0.34,0.34,0.41,0.39,F,0.32,0.33,F,F,F,F,F,0.85,0.85,0.84,0.84,0.84,0.42,0.21,0.32,0.36,F,F,F,F,F,F,F,F,0.81,0.81,0.84,0.84,0.84,F,F,0.34,0.34,0.36,F,F,F,F,F,F,F,0.57,0.81,0.84,0.84,0.84,F,F,0.34,0.34,0.29,F,F,F,F,F,F,F,0.57,0.57,0.71,0.76,0.76,0.35,0.35,0.35,F,F,F,F,F,F,F,F,F,0.31,0.31,F,0.83,0.83,0.35,0.35,0.35,0.31,F,F,F,F,F,F,F,F,F,F,F,0.83,0.83,0.33,0.38,0.38,0.32,F,F,F,F,F,F,F,F,F,F,F,0.86,F,0.38,0.38,0.39,0.44,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.46,0.46,0.46,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.47,0.53,0.44,F,F,F,F,F,F,F,F,F,F,F,0.87
MOD15A2H.A2020057.h10v09.006.2020335040945.Fpar_500m,MOD15A2H,A2020057,Lat-3.834436Lon-73.31897Samp17Line17,2020335040945,F,F,F,0.15,0.12,0.12,0.12,F,F,F,F,F,F,F,F,F,F,F,F,F,0.38,0.04,0.04,0.06,0.09,F,F,F,F,F,F,F,F,F,F,F,F,0.38,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.45,0.36,0.3,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,0.48,0.37,0.37,0.3,F,F,F,F,F,F,F,F,F,0.87,F,F,F,F,0.43,0.38,F,F,F,F,F,F,F,F,F,F,0.87,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.26,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,0.29,0.29,F,F,0.3,F,F,F,F,F,F,F,F,F,0.14,0.14,0.14,0.76,0.29,F,F,F,F,F,F,F,F,F,F,F,F,0.14,0.14,0.14,0.76,0.76,0.67,0.4,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.56,0.42,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.38,0.38,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.42,0.43,0.34,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.34,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.38,0.35,F,F,F,F,F,F,F,F,F,F,F,F,F
